unit,time,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,kmeans_cluster,agglo_cluster,pca_1,pca_2,tsne_1,tsne_2,final_stage,y_true,y_pred,prob_stage4,confidence
8,14,-0.0009,-0.0001,100.0,0.4519906323184841,0.4202387942845966,0.6104524180967239,1.0,0.1819923371647505,0.6882352941177032,0.1167906826269771,0.3333333333333357,0.4057142857142857,0.2246561385634216,0.7023809523811906,0.1598994079740094,0.6207146306132287,0.3636363636363668,0.5416666666666643,0.3454865943037397,1,2,-0.0914444142893535,0.1360397065059738,-44.612144,36.07839,3,3,4,0.5239643554197876,0.5239643554197876
8,29,0.0046,0.0001,100.0,0.377049180327873,0.5014679976512042,0.441341653666143,1.0,0.1786398467432945,0.7647058823527004,0.1121227526921444,0.3333333333333357,0.3714285714285772,0.1930718288334141,0.6904761904763745,0.1515167391418188,0.6108160309029458,0.4545454545454532,0.3988095238095219,0.4110770943501265,4,4,-0.1290091642455222,0.128592201548037,3.896726,23.242859,4,4,3,0.47553742375058117,0.5202492424111748
8,47,-0.0037,0.0001,100.0,0.5199063231849834,0.4157369348209059,0.40436817472699,1.0,0.1891762452107244,0.7176470588233315,0.1550584646670074,0.3333333333333357,0.4400000000000013,0.1721854304635748,0.7142857142857792,0.1649290092733224,0.6747947851279577,0.2727272727272734,0.3511904761904709,0.4163651544670195,4,4,-0.1872752881107755,0.140168305391426,-44.961258,26.552574,4,4,3,0.40639919763249494,0.5932925747289426
20,6,0.0003,-0.0002,100.0,0.1850117096018664,0.517713838324525,0.2063962558502332,1.0,0.3136973180076623,0.6823529411763047,0.181078707769096,0.3333333333333357,0.1771428571428579,0.2954661232806934,0.6607142857144481,0.2218263739718153,0.5255915016900055,0.2727272727272734,0.5178571428571388,0.5159105668429369,4,2,-0.1444022184040574,-0.2946530149347002,-15.692896,-24.858742,4,4,2,0.20525132012220537,0.79438353240496
20,7,-0.0,0.0002,100.0,0.2974238875878257,0.4703464474456851,0.3229329173166917,0.9375,0.2849616858237525,0.6705882352939625,0.181540879049777,0.3333333333333357,0.2571428571428598,0.3020886398369846,0.6071428571428896,0.2458741551841541,0.6277160791887972,0.1818181818181798,0.5119047619047592,0.5521848037851385,4,1,-0.1477648348860818,-0.2197931816977881,-35.685486,-20.20355,4,4,2,0.45237364990770385,0.5475667858980251
20,16,0.0022,0.0001,100.0,0.3278688524590052,0.3139557643374431,0.3524180967238699,1.0,0.312739463601531,0.694117647058647,0.1839441697092994,0.3333333333333357,0.2000000000000028,0.302598064187471,0.625,0.1914915911353247,0.5997102848865303,0.3636363636363668,0.4940476190476168,0.4865015307542428,4,1,-0.1388339726884133,-0.1770360237407533,4.110824,-21.006926,4,4,2,0.46588086450561955,0.5338349231456584
20,27,0.0002,-0.0,100.0,0.2903981264637139,0.4771971031513047,0.3321372854914166,0.9375,0.3577586206896583,0.647058823529278,0.1799694966954774,0.3333333333333357,0.2285714285714313,0.3000509424350461,0.6488095238096321,0.2119243464137881,0.5497344278126519,0.2727272727272734,0.4464285714285694,0.5431858242879706,4,2,-0.1010021513333412,-0.2139664578848067,0.121913075,-39.896946,4,4,2,0.3361184933490714,0.6638294246957966
20,35,0.0007,-0.0004,100.0,0.3138173302107532,0.2387942845958122,0.3767550702028082,0.9375,0.2643678160919549,0.694117647058647,0.1837130840689553,0.3333333333333357,0.2971428571428589,0.3163525216505363,0.6309523809522943,0.2158013307486754,0.524384355383873,0.3636363636363668,0.4999999999999964,0.5389182670006498,4,1,-0.1005728176647322,-0.2020176517762739,10.8273325,-23.30695,4,4,2,0.38245671853780056,0.6173393872913308
20,37,-0.0013,0.0001,100.0,0.3817330210772809,0.3855940497161896,0.3692667706708263,0.9375,0.2476053639846718,0.6352941176469358,0.1797846281831994,0.3333333333333357,0.2228571428571442,0.2975038206826284,0.636904761904816,0.2261748834285128,0.517141477547078,0.1818181818181798,0.5595238095238066,0.5898506354949475,4,1,-0.1289858011984879,-0.2729652841279341,-11.836366,-34.697193,4,4,2,0.374874113424515,0.6251217476348425
20,50,-0.0031,0.0002,100.0,0.3114754098360492,0.3309845370914104,0.3146645865834614,0.9375,0.3295019157088141,0.6294117647057647,0.1924019041456759,0.3333333333333357,0.2285714285714313,0.3000509424350461,0.625,0.2077330119976892,0.5468372766779339,0.2727272727272734,0.5714285714285694,0.5122924204471673,4,1,-0.1288660679499766,-0.2820622093257016,-7.0707226,-28.20827,4,4,2,0.2215472040541773,0.7784044433486963
20,65,-0.0025,0.0004,100.0,0.2763466042154334,0.2804854178900022,0.4216848673946956,0.9375,0.273946360153257,0.6647058823530188,0.1301474326385303,0.3333333333333357,0.3542857142857194,0.2980132450331112,0.6428571428573377,0.1823230471001125,0.4729599227426355,0.1818181818181798,0.4999999999999964,0.5331663419612198,4,1,-0.1319729274501813,-0.2410137487876832,-10.730324,-32.082783,4,4,2,0.36923899787744013,0.6306475619239186
20,66,0.0013,0.0004,100.0,0.334894613583117,0.2434918770796663,0.2386895475819024,0.9375,0.2892720306513396,0.6647058823530188,0.1541803392337186,0.3333333333333357,0.3314285714285745,0.3000509424350461,0.6488095238096321,0.2496463561586352,0.4920328343795255,0.2727272727272734,0.5238095238095184,0.4471657853233175,4,1,-0.1478369809301851,-0.254286159941644,-21.884323,-36.108166,4,4,2,0.3922998992109117,0.6076356401880619
20,67,-0.0019,0.0004,100.0,0.1522248243559545,0.463495791740069,0.2672386895475824,0.9375,0.2835249042145591,0.6647058823530188,0.1637472847437209,0.3333333333333357,0.3542857142857194,0.2883341823739158,0.6309523809522943,0.2166395976318895,0.4647513278609381,0.4545454545454532,0.4345238095238066,0.5101586418035069,2,2,-0.0805510397174091,-0.1688314775237995,8.220095,-8.113592,2,2,4,0.5809078640402331,0.5809078640402331
20,68,-0.0011,0.0005,100.0,0.3044496487119374,0.4777843022117842,0.2051482059282356,0.9375,0.2825670498084278,0.6529411764706765,0.1659194897628992,0.3333333333333357,0.2571428571428598,0.2699949057564978,0.6547619047621538,0.2145439304238436,0.5082085948816975,0.3636363636363668,0.553571428571427,0.4827906113739679,4,1,-0.1155373568360838,-0.2248134817546881,14.154734,-16.411837,4,4,2,0.49634240962395865,0.5035695006986617
20,71,-0.0003,0.0,100.0,0.2341920374707342,0.3552554315913099,0.2778471138845546,0.9375,0.2950191570881202,0.676470588235361,0.17409992143088,0.3333333333333357,0.2800000000000011,0.3031074885379539,0.6845238095238528,0.2115052129721775,0.5968131337518088,0.2727272727272734,0.5476190476190474,0.5737081361907421,4,1,-0.1264650157689075,-0.2697710093123008,-9.961142,-23.682907,4,4,2,0.14576087745881386,0.8540758732238855
20,83,0.0035,-0.0003,100.0,0.3208430913348934,0.2859659424544958,0.3525741029641196,0.9375,0.338601532567047,0.676470588235361,0.1784905485973098,0.3333333333333357,0.2914285714285753,0.2924095771777892,0.6547619047621538,0.1896054906480841,0.5420086914534075,0.1818181818181798,0.4999999999999964,0.5087670470359029,4,1,-0.1406238451840247,-0.252764158176098,-2.3442204,-31.104477,4,4,2,0.2598853080937804,0.7400475207227398
20,86,-0.0006,0.0002,100.0,0.3372365339578209,0.3822665883734579,0.1851794071762889,0.9375,0.277777777777775,0.676470588235361,0.1732680131256572,0.3333333333333357,0.2171428571428606,0.2924095771777892,0.6428571428573377,0.1998742599675154,0.503380009657171,0.1818181818181798,0.5416666666666643,0.6134149735596992,4,1,-0.1615802879574239,-0.3621342604896639,-14.555378,-30.98622,4,4,2,0.39676413202014715,0.6031611014363388
20,87,0.0008,-0.0005,100.0,0.3981264637002084,0.4494030142885101,0.278159126365054,0.9375,0.2782567049808406,0.6529411764706765,0.1815870961778429,0.3333333333333357,0.2514285714285762,0.2903718797758543,0.6666666666669698,0.2053229947084389,0.6228874939642708,0.2727272727272734,0.5357142857142847,0.4941089154838138,4,2,-0.135727593907516,-0.1712644803544132,-16.005104,-28.085459,4,4,2,0.48286455702067704,0.5170928850955387
20,92,-0.0023,0.0002,100.0,0.2014051522248223,0.3957721667645337,0.2028081123244902,0.9375,0.3141762452107244,0.6588235294116203,0.185145815039057,0.3333333333333357,0.2571428571428598,0.2964849719816627,0.6845238095238528,0.1922250746581397,0.5866731047802993,0.2727272727272734,0.5357142857142847,0.6016328045273234,4,1,-0.1404021763970071,-0.3165295597410107,-10.175133,-23.518503,4,4,2,0.22185010620491602,0.7781040924743268
20,95,0.0034,-0.0001,100.0,0.0983606557377072,0.4946173419455846,0.2673946957878321,0.9375,0.2365900383141728,0.6705882352939625,0.1631002449507761,0.3333333333333357,0.3200000000000038,0.2919001528273064,0.6726190476190368,0.208990412322521,0.5212457749879285,0.3636363636363668,0.5416666666666643,0.4699879395120163,4,2,-0.1234879275211919,-0.2093922943745865,5.7836337,-8.3966,4,4,2,0.4967283397061961,0.502195080303204
20,100,0.0002,-0.0002,100.0,0.257611241217802,0.4055588177725582,0.3156006240249596,0.9375,0.2696360153256698,0.647058823529278,0.1666127466839242,0.3333333333333357,0.360000000000003,0.2847682119205288,0.6547619047621538,0.2141247969822401,0.5760502172863369,0.3636363636363668,0.6011904761904745,0.4673902959458225,4,2,-0.0919849733617999,-0.1655519525120091,4.7539244,-6.239217,4,4,2,0.4134218358309226,0.5864832494887291
20,102,-0.0019,-0.0004,100.0,0.4355971896955566,0.329418672930128,0.3029641185647413,0.9375,0.3002873563218386,0.6117647058822513,0.1660119240190383,0.3333333333333357,0.1657142857142872,0.3041263372389196,0.6488095238096321,0.2285325090375636,0.4297440849831027,0.1818181818181798,0.5059523809523796,0.602746080341408,4,1,-0.1338592274941568,-0.3477501195292537,-13.0130825,-30.450554,4,4,2,0.2929672615940499,0.7069743242295505
20,103,0.0012,0.0001,100.0,0.2810304449648697,0.383636719514584,0.2258970358814345,0.9375,0.2945402298850581,0.6705882352939625,0.1709571567222738,0.3333333333333357,0.2971428571428589,0.2776362710137547,0.6547619047621538,0.2023890606171718,0.5516658619024639,0.1818181818181798,0.5892857142857082,0.5502365711104922,4,1,-0.1495288023368406,-0.3115703958616779,-15.798024,-33.35534,4,4,2,0.2608033308194578,0.7391172281019297
